,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females
Country,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries
Afghanistan,2336.7,1424.9,225.3,3675.8,233.5,898.1,48.6,338.0,180.2,759.7,338.7,373.2,1570.7,315.0,267.7,308.2,89.8,298.2,666.4,55.2,38.2,1329.8,2372.6,1186.1,684.2,2032.6,86.7,485.0,26.6,122.7,72.1,401.4,146.8,188.1,839.9,160.8,133.9,130.3,42.9,128.6,339.2,28.1,19.8,869.3,1641.8,1150.6,740.6,225.3,1643.2,146.8,413.1,21.9,215.2,108.1,358.3,191.9,185.1,730.8,154.1,133.8,177.9,46.9,169.6,327.2,27.1,18.5,460.5,730.8
Albania,10.0,14.4,0.6,19.8,6.6,137.9,8.2,10.1,7.9,55.2,48.8,47.4,284.6,21.7,18.9,20.9,6.9,45.6,18.3,10.5,1.2,71.1,17.3,5.5,7.9,11.5,2.2,77.2,4.7,5.4,3.7,27.0,21.4,22.9,165.5,13.4,12.5,10.2,3.2,20.1,9.4,4.9,0.7,47.4,11.2,4.5,6.5,0.6,8.3,4.3,60.7,3.5,4.7,4.2,28.1,27.5,24.4,119.1,8.3,6.4,10.7,3.7,25.5,8.9,5.6,0.6,23.7,6.1
Algeria,460.0,461.5,62.0,1169.5,181.1,871.8,22.7,407.8,118.4,927.8,581.4,593.2,1576.5,279.3,219.7,348.1,111.4,611.1,483.8,102.5,24.4,1023.3,195.5,248.1,210.3,613.6,67.7,426.6,11.8,197.3,53.5,459.7,253.9,286.6,819.5,147.6,119.4,148.6,52.8,267.5,248.9,51.3,12.0,718.1,145.7,211.9,251.3,62.0,555.9,113.5,445.2,10.9,210.5,64.9,468.0,327.5,306.7,757.0,131.7,100.3,199.6,58.6,343.6,234.9,51.3,12.4,305.2,49.8
Angola,5256.8,1866.6,214.4,2959.0,746.3,310.3,19.9,107.6,157.9,480.7,232.0,280.9,671.4,215.1,395.4,145.4,125.4,170.8,709.8,37.5,51.5,1277.6,287.8,2853.5,906.5,1685.6,415.9,135.5,9.2,61.4,77.1,253.6,96.7,141.7,330.3,91.9,249.1,73.6,55.6,79.4,397.9,18.2,33.9,853.0,222.1,2403.3,960.1,214.4,1273.4,330.4,174.8,10.7,46.3,80.8,227.1,135.3,139.2,341.1,123.3,146.3,71.9,69.9,91.4,311.9,19.4,17.6,424.6,65.6
Antigua and Barbuda,1.2,0.8,0.2,0.6,0.6,3.4,0.1,1.7,0.7,2.2,1.1,1.0,5.0,1.0,0.7,0.8,0.4,1.4,0.7,0.3,0.0,2.3,0.1,0.6,0.5,0.3,0.3,1.7,0.0,0.9,0.3,1.1,0.5,0.5,2.6,0.5,0.4,0.4,0.2,0.6,0.3,0.1,0.0,1.7,0.1,0.5,0.3,0.2,0.3,0.3,1.8,0.1,0.8,0.4,1.1,0.6,0.6,2.4,0.5,0.3,0.4,0.2,0.8,0.4,0.2,0.0,0.6,0.1
Argentina,444.1,613.6,29.1,372.0,88.9,1658.8,80.0,350.6,101.1,1112.5,483.6,520.3,1832.1,733.7,451.1,401.8,150.6,845.2,299.6,129.0,21.5,910.2,391.4,248.9,323.6,203.4,29.3,857.9,44.4,184.7,47.0,522.8,197.7,239.5,1042.1,379.6,296.2,198.8,65.0,385.2,157.5,57.5,11.8,632.0,318.5,195.2,290.1,29.1,168.6,59.6,800.9,35.6,166.0,54.0,589.7,285.9,280.8,789.9,354.1,154.9,203.0,85.6,460.0,142.1,71.4,9.6,278.2,72.9
Armenia,18.3,14.0,0.6,26.1,8.2,208.1,2.2,36.5,4.9,60.4,40.9,52.3,227.7,26.8,36.4,28.6,7.2,42.3,19.7,12.2,0.3,70.9,12.9,12.1,7.8,13.6,3.8,118.8,0.3,15.8,2.5,29.5,14.8,22.1,125.3,14.6,22.5,13.3,3.1,16.5,10.8,4.9,0.1,47.7,10.4,6.2,6.2,0.6,12.5,4.3,89.2,1.9,20.7,2.4,30.9,26.1,30.2,102.4,12.1,13.9,15.3,4.1,25.8,8.9,7.2,0.1,23.2,2.5
Australia,59.4,81.3,2.4,75.3,14.5,998.8,27.2,156.6,60.1,802.4,458.1,257.3,749.5,312.4,138.3,105.5,70.7,527.9,69.8,97.4,5.5,342.0,168.4,31.8,40.0,39.0,5.3,557.7,15.1,87.0,30.1,404.0,187.9,135.2,421.5,162.0,82.2,45.4,31.2,233.1,36.3,43.2,3.1,205.8,121.7,27.5,41.3,2.4,36.2,9.1,441.0,12.0,69.7,30.1,398.4,270.3,122.1,328.0,150.3,56.2,60.2,39.6,294.8,33.5,54.2,2.4,136.2,46.8
Austria,21.5,27.7,0.4,23.5,7.3,451.9,12.6,76.8,37.8,236.7,160.2,116.3,508.0,98.6,80.5,61.9,22.5,164.8,31.5,46.4,0.7,157.8,56.8,11.8,13.9,12.3,2.2,247.9,6.5,41.0,20.6,116.1,63.1,53.1,264.7,53.9,50.8,28.0,9.5,65.9,16.5,21.4,0.4,93.2,41.0,9.7,13.8,0.4,11.2,5.1,203.9,6.1,35.8,17.2,120.6,97.1,63.2,243.3,44.7,29.7,33.9,13.0,98.9,15.0,25.0,0.3,64.6,15.8
Azerbaijan,117.8,93.6,3.1,242.0,44.7,346.2,1.2,70.9,31.9,209.2,114.4,127.8,726.8,67.1,107.7,75.3,22.4,113.7,88.1,31.7,3.5,213.6,40.0,74.7,48.3,133.5,13.7,199.3,0.6,33.2,16.1,116.4,48.2,60.5,416.6,35.4,65.1,32.5,10.4,49.6,47.5,14.3,0.8,142.8,31.4,43.1,45.3,3.1,108.5,31.0,146.9,0.6,37.8,15.8,92.8,66.3,67.3,310.1,31.6,42.6,42.8,12.0,64.1,40.6,17.4,2.7,70.8,8.6
Bahamas,14.8,3.0,0.3,3.2,1.5,14.5,0.2,5.3,1.5,8.8,4.5,4.7,16.9,2.4,3.0,3.6,1.5,6.1,1.3,1.4,0.1,6.4,6.7,10.3,1.7,1.7,0.5,7.5,0.1,2.6,0.7,4.4,1.8,2.1,9.4,1.3,1.8,1.7,0.6,2.6,0.7,0.6,0.0,4.5,5.8,4.5,1.3,0.3,1.5,1.0,7.0,0.1,2.7,0.8,4.4,2.6,2.6,7.4,1.1,1.2,1.9,0.9,3.5,0.6,0.8,0.0,1.8,0.9
Bahrain,7.5,3.9,0.3,8.3,6.5,15.4,0.3,22.3,5.9,37.1,15.2,13.0,24.0,6.8,4.8,9.0,3.6,21.1,8.8,3.4,0.1,18.3,6.1,5.4,2.3,4.3,1.8,8.1,0.2,13.4,3.2,23.9,8.2,8.0,15.6,4.1,3.1,4.6,2.1,11.9,4.7,2.1,0.1,14.1,5.2,2.1,1.5,0.3,4.0,4.6,7.2,0.1,8.9,2.6,13.3,6.9,5.0,8.4,2.7,1.8,4.5,1.5,9.2,4.0,1.2,0.1,4.1,0.9
Bangladesh,5486.9,2211.2,321.7,5069.7,1056.5,3404.3,70.0,1070.0,401.8,3489.2,1727.7,2192.8,6885.8,2315.1,1521.6,1094.5,508.6,2239.0,1463.4,295.3,127.6,3660.7,897.7,3215.3,1179.9,2789.4,380.6,1696.5,31.2,495.0,163.7,1723.1,794.9,1109.7,3761.1,1251.9,963.3,507.8,234.0,876.4,810.8,149.5,66.8,2405.0,425.5,2271.6,1031.3,321.7,2280.3,675.9,1707.8,38.8,575.0,238.0,1766.1,932.8,1083.1,3124.7,1063.2,558.3,586.7,274.6,1362.5,652.6,145.8,60.9,1255.7,472.3
Barbados,4.3,4.9,0.1,2.7,1.2,16.5,0.6,7.5,1.9,6.2,4.9,4.3,18.1,2.9,2.8,3.8,1.0,5.5,1.7,1.3,0.1,4.7,1.5,2.8,2.6,1.4,0.4,8.7,0.2,3.5,1.1,3.0,2.2,1.9,9.6,1.6,1.7,1.9,0.5,2.2,0.9,0.5,0.0,3.0,1.1,1.6,2.2,0.1,1.3,0.9,7.8,0.4,4.0,0.8,3.3,2.7,2.4,8.5,1.3,1.0,1.9,0.6,3.3,0.8,0.7,0.0,1.7,0.4
Belarus,104.0,42.6,1.0,29.7,11.9,499.0,2.2,40.8,14.6,342.3,158.3,151.9,1420.0,75.0,144.6,64.1,22.5,158.6,39.4,36.8,1.5,376.0,136.0,65.7,29.6,15.1,3.7,295.3,0.4,18.0,5.2,187.0,52.8,58.9,770.9,47.7,89.9,24.9,9.8,62.8,20.6,14.7,0.8,257.7,111.1,38.2,13.0,1.0,14.6,8.2,203.7,1.8,22.8,9.4,155.3,105.5,93.0,649.1,27.3,54.7,39.2,12.7,95.8,18.8,22.1,0.7,118.3,25.0
