Country,Causes,Both Sexes,Male,Female
Canada,Infectious and parasitic diseases,125.5,65.9,59.5
Canada,Respiratory Infectious ,142.0,70.9,71.1
Canada,Maternal conditions,2.1,0,2.1
Canada,Neonatal conditions,139.3,72.5,66.8
Canada,Nutritional deficiencies,25.1,8.5,16.6
Canada,Malignant neoplasms,1711.6,900.5,811.1
Canada,Other neoplasms,33.4,17.6,15.8
Canada,Diabetes mellitus,312.1,178.2,133.8
Canada,"Endocrine, blood, immune disorders",97.4,47.7,49.7
Canada,Mental and substance use disorders,1063.6,544.3,519.4
Canada,Neurological conditions,729.0,295.5,433.5
Canada,Sense organ diseases,394.7,200.5,194.2
Canada,Cardiovascular diseases,1237.9,706.1,531.8
Canada,Respiratory diseases,429.9,221.1,208.8
Canada,Digestive diseases,258.2,142.7,115.5
Canada,Genitourinary diseases,187.6,90.4,97.2
Canada,Skin diseases,114.3,47.8,66.5
Canada,Musculoskeletal diseases,783.7,325.6,458.1
Canada,Congenital anomalies,106.8,56.4,50.4
Canada,Oral conditions,143.1,69.2,73.9
Canada,Sudden infant death syndrome,5.8,3.4,2.5
Canada,Unintentional injuries,603.1,350.4,252.6
Canada,Intentional injuries,249.4,176.5,73.0
China,Infectious and parasitic diseases,8821.6,4772.6,4048.9
China,Respiratory Infectious ,6191.0,3323.8,2867.2
China,Maternal conditions,298.2,0,298.2
China,Neonatal conditions,7566.1,3875.4,3690.8
China,Nutritional deficiencies,1995.0,767.7,1227.3
China,Malignant neoplasms,61112.8,40749.8,20363.0
China,Other neoplasms,1205.5,657.1,548.4
China,Diabetes mellitus,9289.4,4519.3,4770.1
China,"Endocrine, blood, immune disorders",2937.7,1211.1,1726.5
China,Mental and substance use disorders,31095.0,16082.5,15012.5
China,Neurological conditions,18106.8,7150.6,10956.2
China,Sense organ diseases,19904.7,9975.7,9929.0
China,Cardiovascular diseases,97208.2,50167.9,47040.3
China,Respiratory diseases,20826.4,11323.1,9503.3
China,Digestive diseases,9776.5,5259.5,4517.1
China,Genitourinary diseases,10505.4,4133.1,6372.3
China,Skin diseases,3794.0,1846.6,1947.4
China,Musculoskeletal diseases,19790.7,7455.1,12335.6
China,Congenital anomalies,5290.9,2524.1,2766.8
China,Oral conditions,2890.1,1395.1,1495.0
China,Sudden infant death syndrome,70.9,36.7,34.2
China,Unintentional injuries,31343.7,19878.0,11465.7
China,Intentional injuries,6350.3,3209.0,3141.3
Germany,Infectious and parasitic diseases,366.5,194.5,172.0
Germany,Respiratory Infectious ,436.8,237.1,199.8
Germany,Maternal conditions,6.0,0,6.0
