Country,Dark_Years_Both,Dark_Years_Male,Dark_Years_Female
Afghanistan,0.15470494417862843,8.899999999999999,10.399999999999999
Albania,0.10863874345549752,7.599999999999994,9.0
Algeria,0.14267015706806288,10.0,11.800000000000011
Angola,0.10862619808306716,6.5,7.200000000000003
Antigua and Barbuda,0.10666666666666667,7.299999999999997,8.700000000000003
Argentina,0.11053315994798439,7.599999999999994,9.599999999999994
Armenia,0.11363636363636365,7.600000000000001,9.399999999999991
Australia,0.1194209891435465,9.200000000000003,10.700000000000003
Austria,0.11599511599511599,8.5,10.299999999999997
Azerbaijan,0.11217510259917907,7.5,8.799999999999997
Bahamas,0.1175693527080582,7.8999999999999915,9.799999999999997
Bahrain,0.1390644753476612,10.299999999999997,12.0
Bangladesh,0.1292984869325998,8.499999999999993,10.300000000000011
Barbados,0.1137566137566137,7.699999999999989,9.5
Belarus,0.11725067385444747,7.399999999999999,9.900000000000006
Belgium,0.11822660098522178,8.599999999999994,10.5
Belize,0.11347517730496454,7.200000000000003,8.900000000000006
Benin,0.12438625204582654,7.200000000000003,8.0
Bhutan,0.14022662889518403,9.600000000000009,10.299999999999997
Bolivia (Plurinational State of),0.11888111888111888,7.799999999999997,9.200000000000003
Bosnia and Herzegovina,0.130659767141009,9.899999999999991,10.399999999999991
Botswana,0.13010590015128587,8.399999999999999,8.900000000000006
Brazil,0.12117177097203721,8.000000000000007,10.200000000000003
Brunei Darussalam,0.1112565445026178,8.299999999999997,8.799999999999997
Bulgaria,0.1122994652406416,7.900000000000006,9.200000000000003
Burkina Faso,0.12271973466003315,6.899999999999999,7.799999999999997
Burundi,0.12479201331114809,7.299999999999997,7.799999999999997
Cabo Verde,0.11885245901639348,7.999999999999993,9.200000000000003
Cambodia,0.12391930835734881,7.899999999999999,9.100000000000001
Cameroon,0.12048192771084337,6.600000000000001,7.399999999999999
Canada,0.11594202898550718,8.900000000000006,10.400000000000006
Central African Republic,0.1528301886792453,7.800000000000004,8.5
Chad,0.13075506445672183,6.600000000000001,7.399999999999999
Chile,0.12327044025157229,8.599999999999994,10.900000000000006
China,0.10078534031413615,7.0,8.600000000000009
Colombia,0.10652463382157125,7.099999999999994,9.0
Comoros,0.11424100156494518,6.899999999999999,7.700000000000003
Congo,0.11819595645412122,7.100000000000001,7.999999999999993
Costa Rica,0.10929648241206016,7.900000000000006,9.5
