Country,Infectious_and_parasitic_diseases,Respiratory_Infectious,Maternal_conditions,Neonatal_conditions,Nutritional_deficiencies,Malignant_neoplasms,Other_neoplasms,Diabetes_mellitus,Endocrine_blood_immune_disorders,Mental_and_substance_use_disorders,Neurological_conditions,Sense_organ_diseases,Cardiovascular_diseases,Respiratory_diseases,Digestive_diseases,Genitourinary_diseases,Skin_diseases,Musculoskeletal_diseases,Congenital_anomalies,Oral_conditions,Sudden_infant_death_syndrome,Unintentional_injuries,Intentional_injuries,id,Population
Afghanistan,2336.7,1424.9,225.3,3675.8,233.5,898.1,48.6,338.0,180.2,759.7,338.7,373.2,1570.7,315.0,267.7,308.2,89.8,298.2,666.4,55.2,38.2,1329.8,2372.6,AFG,"34,656"
Albania,10.0,14.4,0.6,19.8,6.6,137.9,8.2,10.1,7.9,55.2,48.8,47.4,284.6,21.7,18.9,20.9,6.9,45.6,18.3,10.5,1.2,71.1,17.3,ALB,"2,926"
Algeria,460.0,461.5,62.0,1169.5,181.1,871.8,22.7,407.8,118.4,927.8,581.4,593.2,1576.5,279.3,219.7,348.1,111.4,611.1,483.8,102.5,24.4,1023.3,195.5,DZA,"40,606"
Angola,5256.8,1866.6,214.4,2959.0,746.3,310.3,19.9,107.6,157.9,480.7,232.0,280.9,671.4,215.1,395.4,145.4,125.4,170.8,709.8,37.5,51.5,1277.6,287.8,AGO,"28,813"
Antigua and Barbuda,1.2,0.8,0.2,0.6,0.6,3.4,0.1,1.7,0.7,2.2,1.1,1.0,5.0,1.0,0.7,0.8,0.4,1.4,0.7,0.3,0.0,2.3,0.1,ATG,101
Argentina,444.1,613.6,29.1,372.0,88.9,1658.8,80.0,350.6,101.1,1112.5,483.6,520.3,1832.1,733.7,451.1,401.8,150.6,845.2,299.6,129.0,21.5,910.2,391.4,ARG,"43,847"
Armenia,18.3,14.0,0.6,26.1,8.2,208.1,2.2,36.5,4.9,60.4,40.9,52.3,227.7,26.8,36.4,28.6,7.2,42.3,19.7,12.2,0.3,70.9,12.9,ARM,"2,925"
Australia,59.4,81.3,2.4,75.3,14.5,998.8,27.2,156.6,60.1,802.4,458.1,257.3,749.5,312.4,138.3,105.5,70.7,527.9,69.8,97.4,5.5,342.0,168.4,AUS,"24,126"
Austria,21.5,27.7,0.4,23.5,7.3,451.9,12.6,76.8,37.8,236.7,160.2,116.3,508.0,98.6,80.5,61.9,22.5,164.8,31.5,46.4,0.7,157.8,56.8,AUT,"8,712"
Azerbaijan,117.8,93.6,3.1,242.0,44.7,346.2,1.2,70.9,31.9,209.2,114.4,127.8,726.8,67.1,107.7,75.3,22.4,113.7,88.1,31.7,3.5,213.6,40.0,AZE,"9,725"
