, Population ('000) (2) 
AFG,"34,656"
ALB,"2,926"
DZA,"40,606"
AGO,"28,813"
ATG,101
ARG,"43,847"
ARM,"2,925"
AUS,"24,126"
AUT,"8,712"
AZE,"9,725"
BHS,391
BHR,"1,425"
BGD,"162,952"
BRB,285
BLR,"9,480"
BEL,"11,358"
BLZ,367
BEN,"10,872"
BTN,798
BOL,"10,888"
BIH,"3,517"
BWA,"2,250"
BRA,"207,653"
BRN,423
BGR,"7,131"
BFA,"18,646"
BDI,"10,524"
KHM,"15,762"
CMR,"23,439"
CAN,"36,290"
CPV,540
CAF,"4,595"
TCD,"14,453"
CHL,"17,910"
CHN,"1,411,415"
COL,"48,653"
COM,796
COG,"5,126"
CRI,"4,857"
CIV,"23,696"
HRV,"4,213"
CUB,"11,476"
CYP,"1,170"
CZE,"10,611"
PRK,"25,369"
COD,"78,736"
DNK,"5,712"
DJI,942
DOM,"10,649"
ECU,"16,385"
EGY,"95,689"
SLV,"6,345"
GNQ,"1,221"
ERI,"4,955"
EST,"1,312"
ETH,"102,403"
FJI,899
FIN,"5,503"
FRA,"64,721"
GAB,"1,980"
GMB,"2,039"
GEO,"3,925"
DEU,"81,915"
GHA,"28,207"
GRC,"11,184"
GRD,107
GTM,"16,582"
GIN,"12,396"
GNB,"1,816"
GUY,773
HTI,"10,847"
HND,"9,113"
HUN,"9,753"
ISL,332
IND,"1,324,171"
IDN,"261,115"
IRN,"80,277"
IRQ,"37,203"
IRL,"4,726"
ISR,"8,192"
ITA,"59,430"
JAM,"2,881"
JPN,"127,749"
JOR,"9,456"
KAZ,"17,988"
KEN,"48,462"
KIR,114
KWT,"4,053"
KGZ,"5,956"
LAO,"6,758"
LVA,"1,971"
LBN,"6,007"
LSO,"2,204"
LBR,"4,614"
LBY,"6,293"
LTU,"2,908"
LUX,576
MDG,"24,895"
MWI,"18,092"
MYS,"31,187"
MDV,428
MLI,"17,995"
MLT,429
MRT,"4,301"
MUS,"1,262"
MEX,"127,540"
FSM,105
MNG,"3,027"
MNE,629
MAR,"35,277"
MOZ,"28,829"
MMR,"52,885"
NAM,"2,480"
NPL,"28,983"
NLD,"16,987"
NZL,"4,661"
NIC,"6,150"
NER,"20,673"
NGA,"185,990"
NOR,"5,255"
OMN,"4,425"
PAK,"193,203"
PAN,"4,034"
PNG,"8,085"
PRY,"6,725"
PER,"31,774"
PHL,"103,320"
POL,"38,224"
PRT,"10,372"
QAT,"2,570"
KOR,"50,792"
MDA,"4,060"
ROU,"19,778"
RUS,"143,965"
RWA,"11,918"
LCA,178
VCT,110
WSM,195
STP,200
SAU,"32,276"
SEN,"15,412"
SRB,"8,820"
SYC,94
SLE,"7,396"
SGP,"5,622"
SVK,"5,444"
SVN,"2,078"
SLB,599
SOM,"14,318"
ZAF,"56,015"
SSD,"12,231"
ESP,"46,348"
LKA,"20,798"
SDN,"39,579"
SUR,558
SWZ,"1,343"
SWE,"9,838"
CHE,"8,402"
SYR,"18,430"
TJK,"8,735"
THA,"68,864"
MKD,"2,081"
TLS,"1,269"
TGO,"7,606"
TON,107
TTO,"1,365"
TUN,"11,403"
TUR,"79,512"
TKM,"5,663"
UGA,"41,488"
UKR,"44,439"
ARE,"9,270"
GBR,"65,789"
TZA,"55,572"
USA,"322,180"
URY,"3,444"
UZB,"31,447"
VUT,270
VEN,"31,568"
VNM,"94,569"
YEM,"27,584"
ZMB,"16,591"
ZWE,"16,150"
